Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;TFC;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;TUC;RStationID
48.830298499999856,2.26373799999979;"{""coordinates"": [2.26373799999979, 48.830298499999856], ""type"": ""Point""}";1;_EG.EGM.RailrdC:dd26830a-85e8-4496-9933-69260eb571;2015-10-26;AQ125;FR;15;Issy-Val-de-Seine;N_A;Issy-Val-de-Seine;N_A;FRE;N_A;26;N.FR.RAILRDC.002972
49.96688149999983,19.629625499999776;"{""coordinates"": [19.629625499999776, 49.96688149999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:abe2f247-c985-45b3-a5af-79d5d2e2d7;2015-10-26;AQ125;PL;15;Brzeźnica;N_A;Brzeznica;N_A;POL;N_A;26;N.PL.RAILRDC.001053
50.997416499999844,6.796746999999782;"{""coordinates"": [6.796746999999782, 50.997416499999844], ""type"": ""Point""}";1;_EG.EGM.RailrdC:474106ca-6c9c-45c8-a7d2-ea705a42ca;2015-10-26;AQ125;DE;15;Pulheim;N_A;Pulheim;N_A;GER;N_A;45;N.DE.RAILRDC.003068
48.99337949999983,2.235466999999801;"{""coordinates"": [2.235466999999801, 48.99337949999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6bd4b8e9-f96d-4e13-9e94-ca9704da97;2015-10-26;AQ125;FR;15;Franconville-Le Plessis-Bouchard;N_A;Franconville-Le Plessis-Bouchard;N_A;FRE;N_A;26;N.FR.RAILRDC.000336
55.738567999999844,-3.974358500000193;"{""coordinates"": [-3.974358500000193, 55.738567999999844], ""type"": ""Point""}";1;_EG.EGM.RailrdC:14077adb-20b8-4280-9f92-84daea673b;2015-10-26;AQ125;GB;15;Larkhall Station;N_A;Larkhall Station;N_A;ENG;N_A;45;N.GB.RAILRDC.001940
59.34365199999982,24.612679499999782;"{""coordinates"": [24.612679499999782, 59.34365199999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:573f3de8-cf98-446a-bd2d-03d555a303;2015-10-26;AQ125;EE;32;Urda;N_A;Urda;N_A;EST;N_A;45;N.EE.RAILRDC.000112
53.35906249999985,-2.158487000000207;"{""coordinates"": [-2.158487000000207, 53.35906249999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:8ab2b7b1-965f-4096-8c1d-7bbd769a46;2015-10-26;AQ125;GB;15;Bramhall Station;N_A;Bramhall Station;N_A;ENG;N_A;45;N.GB.RAILRDC.002509
53.41504249999983,-2.0909915000002;"{""coordinates"": [-2.0909915000002, 53.41504249999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:2a8f8cde-2de0-42e1-90d9-177ad1668e;2015-10-26;AQ125;GB;15;Romiley Station;N_A;Romiley Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000244
48.10289299999985,9.793132999999784;"{""coordinates"": [9.793132999999784, 48.10289299999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c359f95b-046f-4c4f-b2d9-dedbae02e1;2015-10-26;AQ125;DE;15;Biberach (Riß);N_A;Biberach (Riss);N_A;GER;N_A;45;N.DE.RAILRDC.000524
50.86897699999982,3.816159499999799;"{""coordinates"": [3.816159499999799, 50.86897699999982], ""type"": ""Point""}";1;_EG.EGM.RailrdC:670c9047-414c-4fea-926b-f265d31c2c;2015-10-26;AQ125;BE;15;Zottegem;N_A;Zottegem;N_A;DUT;N_A;45;N.BE.RAILRDC.000079
54.612790999999845,24.97965949999977;"{""coordinates"": [24.97965949999977, 54.612790999999845], ""type"": ""Point""}";1;_EG.EGM.RailrdC:341bdc58-f76b-42aa-aa84-69d1ac56b6;2015-10-26;AQ125;LT;15;Senieji Trakai;N_A;Senieji Trakai;N_A;LIT;N_A;45;N.LT.RAILRDC.000196
44.36900899999983,26.014689499999776;"{""coordinates"": [26.014689499999776, 44.36900899999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:c3e7163a-7ea9-45b4-892b-03ff9849e3;2015-10-26;AQ125;RO;15;Vârteju;N_A;Varteju;N_A;RUM;N_A;45;N.RO.RAILRDC.000944
